content_id,publish_date,month,platform,title,url,editor,topic_main,topic_sub,season_keyword,target,format,tone,cta_type,publish_time,views,likes,comments,saves,shares,measure_point,review_note,performance_score,performance_level
HOMEF-0001,2025-01-01,1,홈페이지,지금 대학생에게 필요한 겨울방학 알바 정리,https://example.com/univ/home/2025/01/homef-0001,이도윤,취업,겨울방학 알바,방학,취준생,기사,관찰형,공유 유도,15:30,635,,4,,18,발행 후 30일,,447,보통
IGF-0001,2025-01-02,1,인스타그램,대학생 생활에서 자주 흔들리는 계절학기 마무리 포인트,https://instagram.com/p/igf-0001,김민지,대학생활,계절학기 마무리,방학,전체,릴스,공감형,저장 유도,20:10,"28,768","1,047",139,466,194,발행 후 72시간,초반 반응이 빠르게 올라감,611,높음
HOMEF-0002,2025-01-03,1,홈페이지,대학생 생활에서 자주 흔들리는 새해 목표 포인트,https://example.com/univ/home/2025/01/homef-0002,이도윤,자기계발,새해 목표,방학,재학생,기사,실용형,링크 클릭,09:30,"1,806",,54,,33,발행 후 30일,저장/공유 유도가 잘 먹힘,"1,278",높음
HOMEF-0003,2025-01-03,1,홈페이지,대학생이 방학 루틴 할 때 놓치기 쉬운 것들,https://example.com/univ/home/2025/01/homef-0003,최예준,자기계발,방학 루틴,방학,재학생,인터뷰,실용형,링크 클릭,17:30,220,,5,,5,발행 후 14일,시의성은 맞지만 반응은 낮음,156,낮음
HOMEF-0004,2025-01-04,1,홈페이지,방학에 보는 대학생 계절학기 마무리 체크리스트 현실 버전,https://example.com/univ/home/2025/01/homef-0004,김민지,대학생활,계절학기 마무리,방학,전체,기사,실용형,댓글 유도,11:30,838,,14,,4,발행 후 7일,제목/썸네일 보완 여지 있음,590,높음
IGF-0002,2025-01-06,1,인스타그램,요즘 대학생이 많이 찾는 자격증 계획 팁,https://instagram.com/p/igf-0002,김민지,취업,자격증 계획,방학,취준생,피드,정보형,프로필 링크,11:10,"7,604",897,12,172,150,발행 후 7일,안정적인 반응,442,보통
HOMEF-0005,2025-01-07,1,홈페이지,대학생 관점에서 다시 본 방학 루틴 요약본,https://example.com/univ/home/2025/01/homef-0005,박서윤,자기계발,방학 루틴,방학,전체,기사,공감형,공유 유도,10:40,230,,3,,5,발행 후 14일,시의성은 맞지만 반응은 낮음,162,낮음
IGF-0003,2025-01-08,1,인스타그램,지금 대학생에게 필요한 자격증 계획 정리,https://instagram.com/p/igf-0003,정하린,취업,자격증 계획,방학,취준생,릴스,실용형,공유 유도,11:00,"8,015",402,41,114,56,발행 후 48시간,안정적인 반응,210,보통
IGF-0004,2025-01-09,1,인스타그램,요즘 대학생이 많이 찾는 생활비 관리 팁,https://instagram.com/p/igf-0004,한지우,소비,생활비 관리,방학,자취생,카드뉴스,관찰형,댓글 유도,13:45,"5,212",171,10,80,5,발행 후 7일,,94,보통
HOMEF-0006,2025-01-09,1,홈페이지,대학생이 새해 목표 할 때 놓치기 쉬운 것들,https://example.com/univ/home/2025/01/homef-0006,이도윤,자기계발,새해 목표,방학,전체,기사,정보형,댓글 유도,17:50,"2,151",,33,,63,발행 후 14일,초반 반응이 빠르게 올라감,"1,519",높음
HOMEF-0007,2025-01-12,1,홈페이지,대학생을 위한 생활비 관리 현실 조언 실전편,https://example.com/univ/home/2025/01/homef-0007,최예준,소비,생활비 관리,방학,자취생,기사,공감형,링크 클릭,17:30,657,,4,,21,발행 후 30일,,463,보통
HOMEF-0008,2025-01-13,1,홈페이지,대학생을 위한 자격증 계획 가이드 실전편,https://example.com/univ/home/2025/01/homef-0008,김민지,취업,자격증 계획,방학,취준생,기사,실용형,댓글 유도,09:10,157,,4,,6,발행 후 7일,CTA 보완 필요,111,낮음
IGF-0005,2025-01-13,1,인스타그램,대학생을 위한 실전 방학 루틴 노하우,https://instagram.com/p/igf-0005,정하린,자기계발,방학 루틴,방학,재학생,인터뷰,가벼운 유머형,프로필 링크,20:45,"3,500",593,20,132,99,발행 후 7일,안정적인 반응,299,보통
IGF-0006,2025-01-15,1,인스타그램,대학생을 위한 자격증 계획 가이드 바로 적용편,https://instagram.com/p/igf-0006,최예준,취업,자격증 계획,방학,취준생,카드뉴스,실용형,저장 유도,18:00,"7,592",415,19,226,140,발행 후 72시간,,264,보통
IGF-0007,2025-01-17,1,인스타그램,대학생이라면 한 번쯤 겪는 생활비 관리 현실,https://instagram.com/p/igf-0007,김민지,소비,생활비 관리,방학,자취생,릴스,공감형,공유 유도,12:45,"5,110",403,50,339,146,발행 후 48시간,,297,보통
HOMEF-0009,2025-01-19,1,홈페이지,대학생 관점에서 다시 본 자격증 계획,https://example.com/univ/home/2025/01/homef-0009,최예준,취업,자격증 계획,방학,취준생,기사,관찰형,아카이브 이동,15:10,221,,0,,0,발행 후 30일,,155,낮음
HOMEF-0010,2025-01-19,1,홈페이지,방학에 보는 대학생 방학 루틴 체크리스트 공감 포인트,https://example.com/univ/home/2025/01/homef-0010,김민지,자기계발,방학 루틴,방학,전체,기사,실용형,공유 유도,15:10,882,,10,,23,발행 후 30일,주제 적합도는 높지만 확산력은 보통,622,높음
HOMEF-0011,2025-01-19,1,홈페이지,대학생을 위한 실전 새해 목표 노하우 한눈에 보기,https://example.com/univ/home/2025/01/homef-0011,이도윤,자기계발,새해 목표,방학,전체,카드뉴스,정보형,공유 유도,17:00,"2,368",,44,,27,발행 후 30일,저장/공유 유도가 잘 먹힘,"1,669",높음
