season_id,month,issue_name,academic_event,life_event,emotion_keywords,concern_keywords,behavior_pattern,recommended_topics,recommended_formats,prep_start,caution_note,linked_past_topics
season-01,1,새해 리셋과 방학 후반,"겨울방학, 계절학기 마무리, 새 학기 준비","신년 계획, 생활 패턴 재정비, 자기계발 시작","리셋, 의욕, 조급함, 새 출발","방학 활용, 자격증, 루틴 만들기, 생활비","계획 세우기, 미뤘던 일 정리, 자기계발 콘텐츠 탐색","방학 루틴, 새해 계획, 자기계발 현실, 생활비 관리","기사, 카드뉴스, 피드",12월 중순,뻔한 새해 결심 콘텐츠는 차별점이 약할 수 있음,"자기계발, 소비"
season-02,2,개강 준비와 신입생 적응 직전,"수강신청, 오리엔테이션 준비, 개강 직전","새학기 쇼핑, 시간표 고민, 기숙사/자취 준비","기대, 긴장, 설렘, 불안","수강신청, 개강 준비물, 옷, 통학","개강 대비 소비 증가, 시간표 고민, 정보 탐색","수강신청, 개강 준비, 새학기 소비, 신입생 적응","기사, 카드뉴스, 릴스",1월 말,준비물 리스트만 나열하면 식상해질 수 있음,"대학생활, 소비"
season-03,3,개강과 적응의 시작,"개강, 수강정정, 동아리 모집","개강 모임, 첫 팀플, 새내기 적응","어색함, 기대, 긴장, 적응 피로","친구 만들기, 시간표, 통학, 팀플, 옷","관계 탐색, 캠퍼스 적응, 소비 증가","개강 적응, 인간관계 피로, 시간표, 통학, 새내기 문화","카드뉴스, 피드, 기사",2월 중순,단순 개강 꿀팁은 포화 상태,"관계, 대학생활, 소비"
season-04,4,중간고사 전 루틴 흔들림,"중간고사 준비, 과제 증가","루틴 붕괴, 동아리 적응, 시험 스트레스","피로, 압박, 불안, 산만함","공부 루틴, 집중력, 과제, 잠","공부법 탐색, 생산성 콘텐츠 소비, 야식 증가","시험 루틴, 집중 안 될 때, 과제 스트레스, 생활 리듬","기사, 카드뉴스, 피드",3월 말,너무 교과서적인 공부법은 공감이 떨어질 수 있음,"자기계발, 대학생활"
season-05,5,축제와 대외 활동의 확장,"축제, 행사, 중간고사 종료","MT, 주점, 야외 활동, SNS 업로드 증가","들뜸, 과소비, 피곤함, 기대","축제 룩, 인간관계, 지출, 체력","외부 활동 증가, 관계 확장, 사진/기록 욕구 증가","축제 현실, 축제 소비, 관계 피로, 행사 후유증","피드, 릴스, 인터뷰",4월 중순,단순 축제 추천 콘텐츠는 차별점이 약함,"캠퍼스 이슈, 소비, 관계"
season-06,6,종강 직전과 기말고사,"기말고사, 팀플 마무리, 종강","체력 저하, 마무리 스트레스, 방학 기대","지침, 해방감, 예민함, 기대","기말고사, 종강 계획, 과제, 수면","버티기 모드, 방학 콘텐츠 탐색, 루틴 붕괴","기말고사 버티기, 종강 직전 감정, 방학 계획, 과제 마감","기사, 카드뉴스, 피드",5월 말,과하게 의욕적인 메시지보다 현실 공감형이 유리,"대학생활, 자기계발"
season-07,7,방학 초반과 생활 재정비,"여름방학, 계절학기","아르바이트, 여행, 자격증 준비, 휴식","해방감, 늘어짐, 리셋, 불안","방학 계획, 돈, 대외활동, 갓생 압박","계획 세우기, 여행/알바 병행, 생산성 콘텐츠 탐색","방학 루틴, 알바와 휴식, 갓생 압박, 여름 소비","기사, 피드, 카드뉴스",6월 중순,방학을 무조건 생산적으로 보내라는 톤은 반감 가능,"자기계발, 소비"
season-08,8,방학 후반과 2학기 준비,"수강신청, 복학 준비, 개강 준비","남은 방학 불안, 생활 리듬 조정, 개강 준비 소비","조급함, 아쉬움, 준비, 불안","수강신청, 복학, 개강 준비, 루틴 회복","학기 전환 준비, 정리 정돈, 정보 탐색","복학 준비, 2학기 루틴, 수강신청, 남은 방학 활용","기사, 카드뉴스, 릴스",7월 말,2학기 준비물 나열만 하면 약함,"대학생활, 자기계발"
season-09,9,2학기 시작과 리듬 재정비,"2학기 개강, 복학, 수강 정정","루틴 재정비, 관계 재시작, 진로 고민 재점화","다시 시작, 귀찮음, 불안, 적응 피로","복학 적응, 2학기 목표, 인턴/취업, 관계","계획 재설정, 학기 루틴 고민, 진로 불안 증가","2학기 적응, 복학생 감정, 루틴 재설정, 진로 불안","기사, 카드뉴스, 피드",8월 중순,새 출발 메시지가 지나치면 현실감이 떨어질 수 있음,"관계, 취업, 대학생활"
season-10,10,중간고사와 진로 고민 심화,"중간고사, 취업 준비 본격화","서류 준비, 학업 스트레스, 비교 심화","압박, 비교, 불안, 번아웃","자소서, 인턴, 시험, 시간관리","취업 정보 탐색, 생산성 도구 탐색, 자기비교","취업 루틴, 자소서 시작, 비교 스트레스, 시간관리","기사, 카드뉴스, 인터뷰",9월 말,취업 성공담만 강조하면 거리감이 생길 수 있음,"취업, 자기계발"
season-11,11,연말 전 피로와 취업 압박,"기말 대비, 채용 시즌, 프로젝트 마무리","연말 피로, 관계 정리, 미래 불안","조급함, 번아웃, 비교, 허무함","취업, 연말 계획, 체력, 성과 압박","미래 고민 심화, 회고 욕구, 지출 증가","번아웃, 취업 압박, 연말 회고, 돈 관리","기사, 피드, 카드뉴스",10월 중순,과한 동기부여 메시지보다 현실 공감이 중요,"취업, 소비, 자기계발"
season-12,12,종강과 연말 회고,"기말고사 종료, 종강, 방학 시작","회고, 연말 모임, 소비 증가, 휴식 욕구","해방감, 허무함, 정리, 들뜸","연말 정산, 선물, 방학 계획, 관계 정리","소비 증가, 회고 콘텐츠 소비, 방학 계획 세우기","연말 회고, 방학 시작, 연말 소비, 관계 정리","피드, 기사, 카드뉴스",11월 말,연말 감성만 강조하면 실용성이 떨어질 수 있음,"소비, 관계, 자기계발"
